"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "Markdown", "JSON", "Properties", "reStructuredText", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\initialise.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 122
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\ansi_test.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 77
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\ansitowin32_test.py", "Python", 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44, 295
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\initialise_test.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 35, 190
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\isatty_test.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 58
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\utils.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 50
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\tests\winterm_test.py", "Python", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 132
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\win32.py", "Python", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 25, 181
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\colorama\winterm.py", "Python", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 24, 196
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\__init__.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\__main__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\app.py", "Python", 1027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1272, 250, 2549
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\blueprints.py", "Python", 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 92, 707
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\cli.py", "Python", 635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 194, 1052
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\config.py", "Python", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 31, 338
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\ctx.py", "Python", 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 62, 439
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\debughelpers.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 159
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\globals.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 108
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\flask\helpers.py", "Python", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400, 69, 706
